x,Curve1
0.01,0.97778
9.26,0.96569
30.39,0.92538
48.89,0.87899
70.06,0.79018
89.92,0.67915
109.11,0.59034
130.94,0.4975
149.45,0.43697
169.27,0.38856
190.4,0.34622
208.25,0.29175
219.49,0.24735
230.09,0.18679
240.02,0.12622
259.16,0.1061
280.26,0.1183
289.5,0.1143
309.3,0.10832
331.07,0.10033
350.86,0.09031
369.34,0.07422
390.46,0.05814
410.26,0.0461
431.38,0.03407
451.83,0.03213
470.96,0.03221
491.4,0.03027
499.98,0.02828
