x,Curve1
0.66,0.98583
9.88,0.9717
28.33,0.94141
49.41,0.89291
68.51,0.83631
90.91,0.72709
108.04,0.63404
129.12,0.53494
149.54,0.4581
169.96,0.40555
189.06,0.36716
208.83,0.32676
218.71,0.29846
230.57,0.20539
239.79,0.12445
258.89,0.11036
279.31,0.12259
299.08,0.12672
319.5,0.1187
339.92,0.11474
359.68,0.10065
379.45,0.07644
398.55,0.07246
418.97,0.05028
439.39,0.04429
459.16,0.04842
480.24,0.04243
499.34,0.04048
