x,Curve1
-0.334,0.94546
19.699,0.88682
39.733,0.7639
59.766,0.62539
79.8,0.51611
99.833,0.42435
119.866,0.33455
139.9,0.28175
159.933,0.23675
179.967,0.20734
199.666,0.16039
