x,Curve1
0.017,0.97672
20.11,0.94142
38.889,0.87511
59.703,0.76996
80.52,0.66094
99.987,0.56746
119.454,0.47398
139.576,0.39988
160.353,0.34517
180.455,0.29822
200.562,0.24352
